"","country","year","infant_mortality","life_expectancy","fertility","population","gdp","maternal_mortality","health_spending","gini"
"1","Abkhazia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"2","Afghanistan",1800,NA,28.21,7,3280000,NA,NA,NA,NA
"3","Akrotiri and Dhekelia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"4","Albania",1800,NA,35.4,4.6,410445,NA,NA,NA,NA
"5","Algeria",1800,NA,28.82,6.99,2503218,NA,NA,NA,NA
"6","American Samoa",1800,NA,NA,NA,8170,NA,NA,NA,NA
"7","Andorra",1800,NA,NA,NA,2654,NA,NA,NA,NA
"8","Angola",1800,NA,26.98,6.93,1567028,NA,NA,NA,NA
"9","Anguilla",1800,NA,NA,NA,2025,NA,NA,NA,NA
"10","Antigua and Barbuda",1800,NA,33.54,5,37000,NA,NA,NA,NA
"11","Argentina",1800,NA,33.2,6.8,534000,NA,NA,NA,NA
"12","Armenia",1800,NA,34,7.8,413326,NA,NA,NA,NA
"13","Aruba",1800,NA,34.42,5.64,19286,NA,NA,NA,NA
"14","Australia",1800,NA,34.05,6.5,351014,NA,NA,NA,NA
"15","Austria",1800,NA,34.4,5.1,3205587,NA,NA,NA,NA
"16","Azerbaijan",1800,NA,29.17,8.1,879960,NA,NA,NA,NA
"17","Bahamas",1800,NA,35.18,5.9,27350,NA,NA,NA,NA
"18","Bahrain",1800,NA,30.3,7.03,64474,NA,NA,NA,NA
"19","Bangladesh",1800,NA,25.5,6.7,19227358,NA,NA,NA,NA
"20","Barbados",1800,NA,32.12,4.96,81729,NA,NA,NA,NA
"21","Belarus",1800,NA,36.2,7,2355081,NA,NA,NA,NA
"22","Belgium",1800,NA,40,4.85,3138137,NA,NA,NA,NA
"23","Belize",1800,NA,26.5,6.69,25526,NA,NA,NA,NA
"24","Benin",1800,NA,31,5.55,636559,NA,NA,NA,NA
"25","Bermuda",1800,NA,NA,NA,9692,NA,NA,NA,NA
"26","Bhutan",1800,NA,28.8,6.67,89989,NA,NA,NA,NA
"27","Bolivia",1800,NA,33,6.48,1100000,NA,NA,NA,NA
"28","Bosnia and Herzegovina",1800,NA,35.1,5.91,851806,NA,NA,NA,NA
"29","Botswana",1800,NA,33.6,6.47,121000,NA,NA,NA,NA
"30","Brazil",1800,NA,32,6.26,3639636,NA,NA,NA,NA
"31","British Virgin Islands",1800,NA,NA,NA,6700,NA,NA,NA,NA
"32","Brunei",1800,NA,29.2,7.06,2128,NA,NA,NA,NA
"33","Bulgaria",1800,NA,35.8,5.16,1992320,NA,NA,NA,NA
"34","Burkina Faso",1800,NA,29.2,6.03,1665421,NA,NA,NA,NA
"35","Burundi",1800,NA,31.5,6.8,899097,NA,NA,NA,NA
"36","Cambodia",1800,NA,35,6.95,2090000,NA,NA,NA,NA
"37","Cameroon",1800,NA,28.75,5.54,1860054,NA,NA,NA,NA
"38","Canada",1800,NA,39,5.72,645526,NA,NA,NA,NA
"39","Cape Verde",1800,NA,33.8,6.43,55716,NA,NA,NA,NA
"40","Cayman Islands",1800,NA,NA,NA,2439,NA,NA,NA,NA
"41","Central African Republic",1800,NA,30,6.51,479444,NA,NA,NA,NA
"42","Chad",1800,NA,30.9,6.06,1432000,NA,NA,NA,NA
"43","Channel Islands",1800,NA,NA,5.07,43908,NA,NA,NA,NA
"44","Chile",1800,NA,32,5.98,771447,NA,NA,NA,NA
"45","China",1800,NA,32,5.5,321675013,NA,NA,NA,NA
"46","Christmas Island",1800,NA,NA,NA,NA,NA,NA,NA,NA
"47","Cocos Island",1800,NA,NA,NA,NA,NA,NA,NA,NA
"48","Colombia",1800,NA,32,6.19,1206000,NA,NA,NA,NA
"49","Comoros",1800,NA,32.1,6.01,56346,NA,NA,NA,NA
"50","Congo, Dem. Rep.",1800,NA,31.6,5.99,5163819,NA,NA,NA,NA
"51","Congo, Rep.",1800,NA,32.7,5.67,314465,NA,NA,NA,NA
"52","Cook Is",1800,NA,NA,NA,16136,NA,NA,NA,NA
"53","Costa Rica",1800,NA,30.21,6.93,51987,NA,NA,NA,NA
"54","Cote d'Ivoire",1800,NA,31.16,6.78,1088530,NA,NA,NA,NA
"55","Croatia",1800,NA,36.1,5.75,1227886,NA,NA,NA,NA
"56","Cuba",1800,NA,32.2,5.78,345043,NA,NA,NA,NA
"57","Cyprus",1800,NA,38.5,6.03,184392,NA,NA,NA,NA
"58","Czech Republic",1800,NA,34.95,5.33,5516349,NA,NA,NA,NA
"59","Czechoslovakia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"60","Denmark",1800,NA,37.41,4.04,1062514,NA,NA,NA,NA
"61","Djibouti",1800,NA,29.9,6.3,22848,NA,NA,NA,NA
"62","Dominica",1800,NA,NA,NA,19950,NA,NA,NA,NA
"63","Dominican Republic",1800,NA,29.9,6.16,89000,NA,NA,NA,NA
"64","East Germany",1800,NA,NA,NA,NA,NA,NA,NA,NA
"65","Ecuador",1800,NA,32.9,6.98,5e+05,NA,NA,NA,NA
"66","Egypt",1800,NA,33,6.06,4243515,NA,NA,NA,NA
"67","El Salvador",1800,NA,28.7,5.9,248000,NA,NA,NA,NA
"68","Equatorial Guinea",1800,NA,29.8,5.51,80377,NA,NA,NA,NA
"69","Eritrea",1800,NA,30.2,6.96,205010,NA,NA,NA,NA
"70","Eritrea and Ethiopia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"71","Estonia",1800,NA,36.14,5.59,334136,NA,NA,NA,NA
"72","Ethiopia",1800,NA,29.7,7.17,2948990,NA,NA,NA,NA
"73","Faeroe Islands",1800,NA,NA,NA,13537,NA,NA,NA,NA
"74","Falkland Is (Malvinas)",1800,NA,NA,NA,100,NA,NA,NA,NA
"75","Fiji",1800,NA,26.1,6.45,130533,NA,NA,NA,NA
"76","Finland",1800,NA,36.57,4.92,977662,NA,825.3,NA,NA
"77","France",1800,NA,33.97,4.41,29355111,NA,NA,NA,NA
"78","French Guiana",1800,NA,30.5,6.27,9899,NA,NA,NA,NA
"79","French Polynesia",1800,NA,25.6,5.97,62530,NA,NA,NA,NA
"80","Gabon",1800,NA,30.6,6.5,158227,NA,NA,NA,NA
"81","Gambia",1800,NA,28.8,6.51,103274,NA,NA,NA,NA
"82","Georgia",1800,NA,31.87,7.8,1072178,NA,NA,NA,NA
"83","Germany",1800,NA,38.37,5.4,22886919,NA,NA,NA,NA
"84","Ghana",1800,NA,28,6.43,2016034,NA,NA,NA,NA
"85","Gibraltar",1800,NA,NA,NA,9873,NA,NA,NA,NA
"86","Greece",1800,NA,36.6,6.03,2151155,NA,NA,NA,NA
"87","Greenland",1800,NA,33.87,4.9,9584,NA,NA,NA,NA
"88","Grenada",1800,NA,31.4,5.81,29409,NA,NA,NA,NA
"89","Guadeloupe",1800,NA,27.66,5.62,80726,NA,NA,NA,NA
"90","Guam",1800,NA,27.5,6.37,6053,NA,NA,NA,NA
"91","Guatemala",1800,NA,25.8,6.45,458965,NA,NA,NA,NA
"92","Guernsey",1800,NA,NA,NA,NA,NA,NA,NA,NA
"93","Guinea",1800,NA,29.5,6.11,983959,NA,NA,NA,NA
"94","Guinea-Bissau",1800,NA,32,7.25,218167,NA,NA,NA,NA
"95","Guyana",1800,NA,31.12,5.01,166034,NA,NA,NA,NA
"96","Haiti",1800,NA,29,6.31,723000,NA,NA,NA,NA
"97","Holy See",1800,NA,NA,NA,905,NA,NA,NA,NA
"98","Honduras",1800,NA,33.9,6.05,126118,NA,NA,NA,NA
"99","Hong Kong, China",1800,NA,34.9,5.47,20000,NA,NA,NA,NA
"100","Hungary",1800,NA,36,5.18,3499771,NA,NA,NA,NA
"101","Iceland",1800,NA,42.85,4.88,61428,NA,NA,NA,NA
"102","India",1800,NA,25.44,5.95,168574895,NA,NA,NA,NA
"103","Indonesia",1800,NA,30,6.07,16108545,NA,NA,NA,NA
"104","Iran",1800,NA,25.6,7.08,6269721,NA,NA,NA,NA
"105","Iraq",1800,NA,31.2,7.13,1076920,NA,NA,NA,NA
"106","Ireland",1800,NA,38.3,4.2,4064749,NA,NA,NA,NA
"107","Isle of Man",1800,NA,NA,NA,23533,NA,NA,NA,NA
"108","Israel",1800,NA,32,6,209954,NA,NA,NA,NA
"109","Italy",1800,NA,29.69,5.47,18822234,NA,NA,NA,NA
"110","Jamaica",1800,NA,34.2,5.13,401000,NA,NA,NA,NA
"111","Japan",1800,NA,36.4,4.08,30294378,NA,NA,NA,NA
"112","Jersey",1800,NA,NA,NA,NA,NA,NA,NA,NA
"113","Jordan",1800,NA,31.7,6.97,217000,NA,NA,NA,NA
"114","Kazakhstan",1800,NA,26.2,6.45,2041282,NA,NA,NA,NA
"115","Kenya",1800,NA,25.5,6.91,2574000,NA,NA,NA,NA
"116","Kiribati",1800,NA,24.9,5.67,17876,NA,NA,NA,NA
"117","North Korea",1800,NA,26,6.1,4345000,NA,NA,NA,NA
"118","South Korea",1800,NA,25.8,6,9395000,NA,NA,NA,NA
"119","United Korea (former)
",1800,NA,NA,NA,NA,NA,NA,NA,NA
"120","Kosovo",1800,NA,NA,NA,NA,NA,NA,NA,NA
"121","Kuwait",1800,NA,26,6.87,81280,NA,NA,NA,NA
"122","Kyrgyz Republic",1800,NA,23.94,6.58,530343,NA,NA,NA,NA
"123","Lao",1800,NA,31.9,6.13,470000,NA,NA,NA,NA
"124","Latvia",1800,NA,33,5.2,590588,NA,NA,NA,NA
"125","Lebanon",1800,NA,29.7,5.74,332000,NA,NA,NA,NA
"126","Lesotho",1800,NA,32.8,5.84,276361,NA,NA,NA,NA
"127","Liberia",1800,NA,31.1,6.19,313543,NA,NA,NA,NA
"128","Libya",1800,NA,33.1,7.2,531472,NA,NA,NA,NA
"129","Liechtenstein",1800,NA,NA,NA,5802,NA,NA,NA,NA
"130","Lithuania",1800,NA,28.9,5.76,778655,NA,NA,NA,NA
"131","Luxembourg",1800,NA,36.9,4.78,127030,NA,NA,NA,NA
"132","Macao, China",1800,NA,34.7,5.51,17311,NA,NA,NA,NA
"133","Macedonia, FYR",1800,NA,36.1,5.9,391865,NA,NA,NA,NA
"134","Madagascar",1800,NA,30.5,6.89,1543133,NA,NA,NA,NA
"135","Malawi",1800,NA,30.3,6.78,737000,NA,NA,NA,NA
"136","Malaysia",1800,NA,30.6,5.45,287000,NA,NA,NA,NA
"137","Maldives",1800,NA,32.65,5.98,42378,NA,NA,NA,NA
"138","Mali",1800,NA,26.41,6.23,1403398,NA,NA,NA,NA
"139","Malta",1800,NA,28.7,5.49,134072,NA,NA,NA,NA
"140","Marshall Islands",1800,NA,NA,NA,5828,NA,NA,NA,NA
"141","Martinique",1800,NA,30.15,5.71,84039,NA,NA,NA,NA
"142","Mauritania",1800,NA,32,6.34,382696,NA,NA,NA,NA
"143","Mauritius",1800,NA,28.7,5.03,62865,NA,NA,NA,NA
"144","Mayotte",1800,NA,32.5,7.07,8219,NA,NA,NA,NA
"145","Mexico",1800,NA,26.9,6.8,6181708,NA,NA,NA,NA
"146","Micronesia, Fed. Sts.",1800,NA,26.7,6.02,16416,NA,NA,NA,NA
"147","Moldova",1800,NA,33.15,6.39,712558,NA,NA,NA,NA
"148","Monaco",1800,NA,NA,NA,7789,NA,NA,NA,NA
"149","Mongolia",1800,NA,31.8,5.94,619000,NA,NA,NA,NA
"150","Montenegro",1800,NA,35.4,5.9,126582,NA,NA,NA,NA
"151","Montserrat",1800,NA,NA,NA,5230,NA,NA,NA,NA
"152","Morocco",1800,NA,33.1,6.5,2503218,NA,NA,NA,NA
"153","Mozambique",1800,NA,30.28,6.63,1982324,NA,NA,NA,NA
"154","Myanmar",1800,NA,30.8,6.03,3506000,NA,NA,NA,NA
"155","Namibia",1800,NA,32.4,5.96,229000,NA,NA,NA,NA
"156","Nauru",1800,NA,NA,NA,1834,NA,NA,NA,NA
"157","Nepal",1800,NA,32.8,6.15,3881000,NA,NA,NA,NA
"158","Netherlands",1800,NA,39.86,5.11,2254522,NA,NA,NA,NA
"159","Netherlands Antilles",1800,NA,34.41,5.8,NA,NA,NA,NA,NA
"160","New Caledonia",1800,NA,26,6.41,29432,NA,NA,NA,NA
"161","New Zealand",1800,NA,34.05,5.25,1e+05,NA,NA,NA,NA
"162","Ngorno-Karabakh",1800,NA,NA,NA,NA,NA,NA,NA,NA
"163","Nicaragua",1800,NA,25.4,6.16,219387,NA,NA,NA,NA
"164","Niger",1800,NA,30.8,6.83,1244861,NA,NA,NA,NA
"165","Nigeria",1800,NA,30.4,6.55,12100855,NA,NA,NA,NA
"166","Niue",1800,NA,NA,NA,4538,NA,NA,NA,NA
"167","Norfolk Island",1800,NA,NA,NA,NA,NA,NA,NA,NA
"168","Northern Cyprus",1800,NA,NA,NA,NA,NA,NA,NA,NA
"169","Northern Mariana Islands",1800,NA,NA,NA,3360,NA,NA,NA,NA
"170","Norway",1800,NA,37.92,4.32,868570,NA,NA,NA,NA
"171","Oman",1800,NA,32.3,6.88,318000,NA,NA,NA,NA
"172","Pakistan",1800,NA,25.8,6.59,13123633,NA,NA,NA,NA
"173","Palau",1800,NA,NA,NA,3875,NA,NA,NA,NA
"174","Panama",1800,NA,32.9,5.36,78842,NA,NA,NA,NA
"175","Papua New Guinea",1800,NA,31.5,6.23,754894,NA,NA,NA,NA
"176","Paraguay",1800,NA,35.5,6.49,143000,NA,NA,NA,NA
"177","Peru",1800,NA,35.7,6.82,1314151,NA,NA,NA,NA
"178","Philippines",1800,NA,30.9,6.45,1894389,NA,NA,NA,NA
"179","Pitcairn",1800,NA,NA,NA,NA,NA,NA,NA,NA
"180","Poland",1800,NA,35.9,6.28,9508747,NA,NA,NA,NA
"181","Portugal",1800,NA,35.6,4.5,3033454,NA,NA,NA,NA
"182","Puerto Rico",1800,NA,30.43,5.15,155000,NA,NA,NA,NA
"183","Qatar",1800,NA,30.8,6.97,14092,NA,NA,NA,NA
"184","Reunion",1800,NA,33,6.51,92744,NA,NA,NA,NA
"185","Romania",1800,NA,35.7,5.22,5464085,NA,NA,NA,NA
"186","Russia",1800,NA,29.57,7,31088398,NA,NA,NA,NA
"187","Rwanda",1800,NA,31.8,7.07,928368,NA,NA,NA,NA
"188","St. Barthélemy",1800,NA,NA,NA,NA,NA,NA,NA,NA
"189","St. Helena",1800,NA,NA,NA,1997,NA,NA,NA,NA
"190","St. Kitts and Nevis",1800,NA,NA,NA,17202,NA,NA,NA,NA
"191","St. Lucia",1800,NA,28.01,5.53,24000,NA,NA,NA,NA
"192","St. Martin",1800,NA,NA,NA,NA,NA,NA,NA,NA
"193","St. Vincent and the Grenadines",1800,NA,25.99,6.54,25781,NA,NA,NA,NA
"194","St.-Pierre-et-Miquelon",1800,NA,NA,NA,1782,NA,NA,NA,NA
"195","Samoa",1800,NA,25.4,6.98,47300,NA,NA,NA,NA
"196","San Marino",1800,NA,NA,NA,5492,NA,NA,NA,NA
"197","Sao Tome and Principe",1800,NA,31,6.23,22731,NA,NA,NA,NA
"198","Saudi Arabia",1800,NA,32.1,6.86,2091000,NA,NA,NA,NA
"199","Senegal",1800,NA,25.2,5.7,1009886,NA,NA,NA,NA
"200","Serbia",1800,NA,35.5,5.9,2147197,NA,NA,NA,NA
"201","Serbia and Montenegro",1800,NA,NA,NA,NA,NA,NA,NA,NA
"202","Serbia excluding Kosovo",1800,NA,NA,NA,NA,NA,NA,NA,NA
"203","Seychelles",1800,NA,37,5.16,12522,NA,NA,NA,NA
"204","Sierra Leone",1800,NA,25.1,5.72,794264,NA,NA,NA,NA
"205","Singapore",1800,NA,29.1,5.47,30000,NA,NA,NA,NA
"206","Slovak Republic",1800,NA,36.4,5.94,2140651,NA,NA,NA,NA
"207","Slovenia",1800,NA,36.6,4.93,469664,NA,NA,NA,NA
"208","Solomon Islands",1800,NA,25.1,6.42,56998,NA,NA,NA,NA
"209","Somalia",1800,NA,29.4,6.87,991488,NA,NA,NA,NA
"210","Somaliland",1800,NA,NA,NA,NA,NA,NA,NA,NA
"211","South Africa",1800,NA,33.5,6.47,1440820,NA,NA,NA,NA
"212","South Ossetia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"213","Spain",1800,NA,29.5,5.13,11549294,NA,NA,NA,NA
"214","Sri Lanka",1800,NA,32.6,5.68,1213000,NA,NA,NA,NA
"215","Sudan",1800,NA,31.4,6.64,3994154,NA,NA,NA,NA
"216","Suriname",1800,NA,32.9,6.58,80721,NA,NA,NA,NA
"217","Svalbard",1800,NA,NA,NA,NA,NA,NA,NA,NA
"218","Swaziland",1800,NA,32.3,6.71,86000,NA,NA,NA,NA
"219","Sweden",1800,240,32.16,4.07,2354189,NA,895.6,NA,NA
"220","Switzerland",1800,NA,38,4.14,1826051,NA,NA,NA,NA
"221","Syria",1800,NA,31.1,6.85,1337000,NA,NA,NA,NA
"222","Taiwan",1800,NA,28.3,5.83,NA,NA,NA,NA,NA
"223","Tajikistan",1800,NA,24.24,5.87,466629,NA,NA,NA,NA
"224","Tanzania",1800,NA,32.2,6.74,3019768,NA,NA,NA,NA
"225","Thailand",1800,NA,30.4,6.35,4665000,NA,NA,NA,NA
"226","Timor-Leste",1800,NA,28.95,6.52,137262,NA,NA,NA,NA
"227","Togo",1800,NA,31.3,6.34,445985,NA,NA,NA,NA
"228","Tokelau",1800,NA,NA,NA,1009,NA,NA,NA,NA
"229","Tonga",1800,NA,28.2,6.51,18658,NA,NA,NA,NA
"230","Transnistria",1800,NA,NA,NA,NA,NA,NA,NA,NA
"231","Trinidad and Tobago",1800,NA,32.9,4.44,60000,NA,NA,NA,NA
"232","Tunisia",1800,NA,28.8,6.4,862029,NA,NA,NA,NA
"233","Turkey",1800,NA,35,6.92,9773456,NA,NA,NA,NA
"234","Turkmenistan",1800,NA,24,6.22,367215,NA,NA,NA,NA
"235","Turks and Caicos Islands",1800,NA,NA,NA,3296,NA,NA,NA,NA
"236","Tuvalu",1800,NA,NA,NA,2499,NA,NA,NA,NA
"237","Uganda",1800,NA,25.3,6.89,2101397,NA,NA,NA,NA
"238","Ukraine",1800,NA,36.6,7.5,11215490,NA,NA,NA,NA
"239","United Arab Emirates",1800,NA,30.7,6.94,40153,NA,NA,NA,NA
"240","United Kingdom",1800,NA,38.65,4.97,12327466,NA,NA,NA,NA
"241","United States",1800,NA,39.41,7.03,6801854,NA,NA,NA,NA
"242","Uruguay",1800,NA,32.9,5.97,55000,NA,NA,NA,NA
"243","USSR",1800,NA,NA,NA,NA,NA,NA,NA,NA
"244","Uzbekistan",1800,NA,26.93,5.71,1919159,NA,NA,NA,NA
"245","Wallis et Futuna",1800,NA,NA,NA,3721,NA,NA,NA,NA
"246","Vanuatu",1800,NA,24.3,6.6,27791,NA,NA,NA,NA
"247","Venezuela",1800,NA,32.2,5.63,718000,NA,NA,NA,NA
"248","West Bank and Gaza",1800,NA,32.1,6.97,165944,NA,NA,NA,NA
"249","West Germany",1800,NA,NA,NA,NA,NA,NA,NA,NA
"250","Western Sahara",1800,NA,34.75,6.32,2788,NA,NA,NA,NA
"251","Vietnam",1800,NA,32,4.7,6551000,NA,NA,NA,NA
"252","Virgin Islands (U.S.)",1800,NA,33.4,5.55,40000,NA,NA,NA,NA
"253","North Yemen (former)",1800,NA,NA,NA,NA,NA,NA,NA,NA
"254","South Yemen (former)",1800,NA,NA,NA,NA,NA,NA,NA,NA
"255","Yemen",1800,NA,23.39,6.88,2593000,NA,NA,NA,NA
"256","Yugoslavia",1800,NA,NA,NA,NA,NA,NA,NA,NA
"257","Zambia",1800,NA,32.6,6.71,747000,NA,NA,NA,NA
"258","Zimbabwe",1800,NA,33.7,6.75,1085814,NA,NA,NA,NA
"259","Åland",1800,NA,NA,NA,NA,NA,NA,NA,NA
"260","Åland",1800,NA,NA,NA,NA,NA,NA,NA,NA
"261","South Sudan",1800,NA,26.67,NA,1027378,NA,NA,NA,NA
"262","Abkhazia",1801,NA,NA,NA,NA,NA,NA,NA,NA
"263","Afghanistan",1801,NA,28.2,7,NA,NA,NA,NA,NA
"264","Akrotiri and Dhekelia",1801,NA,NA,NA,NA,NA,NA,NA,NA
"265","Albania",1801,NA,35.4,4.6,NA,NA,NA,NA,NA
"266","Algeria",1801,NA,28.82,6.99,NA,NA,NA,NA,NA
"267","American Samoa",1801,NA,NA,NA,NA,NA,NA,NA,NA
"268","Andorra",1801,NA,NA,NA,NA,NA,NA,NA,NA
"269","Angola",1801,NA,26.98,6.93,NA,NA,NA,NA,NA
"270","Anguilla",1801,NA,NA,NA,NA,NA,NA,NA,NA
"271","Antigua and Barbuda",1801,NA,33.54,5,NA,NA,NA,NA,NA
"272","Argentina",1801,NA,33.2,6.8,NA,NA,NA,NA,NA
"273","Armenia",1801,NA,34,7.8,NA,NA,NA,NA,NA
"274","Aruba",1801,NA,34.42,5.64,NA,NA,NA,NA,NA
"275","Australia",1801,NA,34.05,6.48,NA,NA,NA,NA,NA
"276","Austria",1801,NA,34.4,5.1,NA,NA,NA,NA,NA
"277","Azerbaijan",1801,NA,29.17,8.1,NA,NA,NA,NA,NA
"278","Bahamas",1801,NA,35.18,5.9,NA,NA,NA,NA,NA
"279","Bahrain",1801,NA,30.3,7.03,NA,NA,NA,NA,NA
"280","Bangladesh",1801,NA,25.5,6.7,NA,NA,NA,NA,NA
"281","Barbados",1801,NA,32.12,4.93,NA,NA,NA,NA,NA
"282","Belarus",1801,NA,36.2,7,NA,NA,NA,NA,NA
"283","Belgium",1801,NA,40.01,4.85,NA,NA,NA,NA,NA
"284","Belize",1801,NA,26.5,6.69,NA,NA,NA,NA,NA
"285","Benin",1801,NA,31,5.55,NA,NA,NA,NA,NA
"286","Bermuda",1801,NA,NA,NA,NA,NA,NA,NA,NA
"287","Bhutan",1801,NA,28.8,6.67,NA,NA,NA,NA,NA
"288","Bolivia",1801,NA,33,6.48,NA,NA,NA,NA,NA
"289","Bosnia and Herzegovina",1801,NA,35.1,5.91,NA,NA,NA,NA,NA
"290","Botswana",1801,NA,33.6,6.47,NA,NA,NA,NA,NA
"291","Brazil",1801,NA,32,6.26,NA,NA,NA,NA,NA
"292","British Virgin Islands",1801,NA,NA,NA,NA,NA,NA,NA,NA
"293","Brunei",1801,NA,29.2,7.06,NA,NA,NA,NA,NA
"294","Bulgaria",1801,NA,35.84,5.16,NA,NA,NA,NA,NA
"295","Burkina Faso",1801,NA,29.2,6.03,NA,NA,NA,NA,NA
"296","Burundi",1801,NA,31.5,6.8,NA,NA,NA,NA,NA
"297","Cambodia",1801,NA,35,6.95,NA,NA,NA,NA,NA
"298","Cameroon",1801,NA,28.75,5.54,NA,NA,NA,NA,NA
"299","Canada",1801,NA,39,5.72,NA,NA,NA,NA,NA
"300","Cape Verde",1801,NA,33.8,6.43,NA,NA,NA,NA,NA
"301","Cayman Islands",1801,NA,NA,NA,NA,NA,NA,NA,NA
"302","Central African Republic",1801,NA,30,6.51,NA,NA,NA,NA,NA
"303","Chad",1801,NA,30.9,6.06,NA,NA,NA,NA,NA
"304","Channel Islands",1801,NA,NA,5.07,NA,NA,NA,NA,NA
"305","Chile",1801,NA,32,5.98,NA,NA,NA,NA,NA
"306","China",1801,NA,32,5.5,NA,NA,NA,NA,NA
"307","Christmas Island",1801,NA,NA,NA,NA,NA,NA,NA,NA
"308","Cocos Island",1801,NA,NA,NA,NA,NA,NA,NA,NA
"309","Colombia",1801,NA,32,6.19,NA,NA,NA,NA,NA
"310","Comoros",1801,NA,32.1,6.01,NA,NA,NA,NA,NA
"311","Congo, Dem. Rep.",1801,NA,31.6,5.99,NA,NA,NA,NA,NA
"312","Congo, Rep.",1801,NA,32.7,5.67,NA,NA,NA,NA,NA
"313","Cook Is",1801,NA,NA,NA,NA,NA,NA,NA,NA
"314","Costa Rica",1801,NA,30.21,6.93,NA,NA,NA,NA,NA
"315","Cote d'Ivoire",1801,NA,31.16,6.78,NA,NA,NA,NA,NA
"316","Croatia",1801,NA,36.1,5.75,NA,NA,NA,NA,NA
"317","Cuba",1801,NA,32.33,5.78,NA,NA,NA,NA,NA
"318","Cyprus",1801,NA,38.5,6.03,NA,NA,NA,NA,NA
"319","Czech Republic",1801,NA,34.95,5.32,NA,NA,NA,NA,NA
"320","Czechoslovakia",1801,NA,NA,NA,NA,NA,NA,NA,NA
"321","Denmark",1801,NA,38.51,4.04,NA,NA,NA,NA,NA
"322","Djibouti",1801,NA,29.9,6.3,NA,NA,NA,NA,NA
"323","Dominica",1801,NA,NA,NA,NA,NA,NA,NA,NA
"324","Dominican Republic",1801,NA,29.9,6.16,NA,NA,NA,NA,NA
"325","East Germany",1801,NA,NA,NA,NA,NA,NA,NA,NA
"326","Ecuador",1801,NA,32.9,6.98,NA,NA,NA,NA,NA
"327","Egypt",1801,NA,33,6.06,NA,NA,NA,NA,NA
"328","El Salvador",1801,NA,28.7,5.9,NA,NA,NA,NA,NA
"329","Equatorial Guinea",1801,NA,29.8,5.51,NA,NA,NA,NA,NA
"330","Eritrea",1801,NA,30.2,6.96,NA,NA,NA,NA,NA
"331","Eritrea and Ethiopia",1801,NA,NA,NA,NA,NA,NA,NA,NA
"332","Estonia",1801,NA,35.7,5.5,NA,NA,NA,NA,NA
"333","Ethiopia",1801,NA,29.7,7.17,NA,NA,NA,NA,NA
"334","Faeroe Islands",1801,NA,NA,NA,NA,NA,NA,NA,NA
"335","Falkland Is (Malvinas)",1801,NA,NA,NA,NA,NA,NA,NA,NA
"336","Fiji",1801,NA,26.1,6.45,NA,NA,NA,NA,NA
"337","Finland",1801,NA,40.3,5.07,NA,NA,834.9,NA,NA
"338","France",1801,NA,36.37,4.36,NA,NA,NA,NA,NA
"339","French Guiana",1801,NA,30.5,6.27,NA,NA,NA,NA,NA
"340","French Polynesia",1801,NA,25.6,5.97,NA,NA,NA,NA,NA
"341","Gabon",1801,NA,30.6,6.5,NA,NA,NA,NA,NA
"342","Gambia",1801,NA,28.8,6.51,NA,NA,NA,NA,NA
"343","Georgia",1801,NA,31.87,7.8,NA,NA,NA,NA,NA
"344","Germany",1801,NA,38.37,5.4,NA,NA,NA,NA,NA
"345","Ghana",1801,NA,28,6.43,NA,NA,NA,NA,NA
"346","Gibraltar",1801,NA,NA,NA,NA,NA,NA,NA,NA
"347","Greece",1801,NA,36.6,6.03,NA,NA,NA,NA,NA
"348","Greenland",1801,NA,33.87,4.89,NA,NA,NA,NA,NA
"349","Grenada",1801,NA,31.4,5.81,NA,NA,NA,NA,NA
"350","Guadeloupe",1801,NA,27.66,5.62,NA,NA,NA,NA,NA
"351","Guam",1801,NA,27.5,6.37,NA,NA,NA,NA,NA
"352","Guatemala",1801,NA,25.8,6.45,NA,NA,NA,NA,NA
"353","Guernsey",1801,NA,NA,NA,NA,NA,NA,NA,NA
"354","Guinea",1801,NA,29.51,6.11,NA,NA,NA,NA,NA
"355","Guinea-Bissau",1801,NA,32,7.25,NA,NA,NA,NA,NA
"356","Guyana",1801,NA,31.12,5.01,NA,NA,NA,NA,NA
"357","Haiti",1801,NA,29,6.31,NA,NA,NA,NA,NA
"358","Holy See",1801,NA,NA,NA,NA,NA,NA,NA,NA
"359","Honduras",1801,NA,33.9,6.05,NA,NA,NA,NA,NA
"360","Hong Kong, China",1801,NA,34.9,5.47,NA,NA,NA,NA,NA
"361","Hungary",1801,NA,36,5.18,NA,NA,NA,NA,NA
"362","Iceland",1801,NA,33.88,4.88,NA,NA,NA,NA,NA
"363","India",1801,NA,25.44,5.95,NA,NA,NA,NA,NA
"364","Indonesia",1801,NA,30,6.07,NA,NA,NA,NA,NA
"365","Iran",1801,NA,25.6,7.08,NA,NA,NA,NA,NA
"366","Iraq",1801,NA,31.2,7.13,NA,NA,NA,NA,NA
"367","Ireland",1801,NA,38.3,4.2,NA,NA,NA,NA,NA
"368","Isle of Man",1801,NA,NA,NA,NA,NA,NA,NA,NA
"369","Israel",1801,NA,32,5.99,NA,NA,NA,NA,NA
