ccp,cr,avg_val,rev,exp,pro,ROI
0.64,0.011,136.5,1407.66,600,807.66,1.35
0.64,0.012,126.5,1423.12,600,823.12,1.37
0.64,0.012,136.5,1535.62,600,935.62,1.56
0.64,0.013,126.5,1541.72,600,941.72,1.57
0.64,0.013,136.5,1663.59,600,1063.59,1.77
0.64,0.014,126.5,1660.31,600,1060.31,1.77
0.64,0.014,136.5,1791.56,600,1191.56,1.99
0.65,0.004,126.5,467.08,600,-132.92,-0.22
0.65,0.004,136.5,504.0,600,-96.0,-0.16
0.65,0.005,126.5,583.85,600,-16.15,-0.03
0.65,0.005,136.5,630.0,600,30.0,0.05
0.65,0.006,126.5,700.62,600,100.62,0.17
0.65,0.006,136.5,756.0,600,156.0,0.26
0.65,0.007,126.5,817.38,600,217.38,0.36
0.65,0.007,136.5,882.0,600,282.0,0.47
0.65,0.008,126.5,934.15,600,334.15,0.56
0.65,0.008,136.5,1008.0,600,408.0,0.68
0.65,0.009,126.5,1050.92,600,450.92,0.75
0.65,0.009,136.5,1134.0,600,534.0,0.89
0.65,0.01,126.5,1167.69,600,567.69,0.95
0.65,0.01,136.5,1260.0,600,660.0,1.1
0.65,0.011,126.5,1284.46,600,684.46,1.14
0.65,0.011,136.5,1386.0,600,786.0,1.31
0.65,0.012,126.5,1401.23,600,801.23,1.34
0.65,0.012,136.5,1512.0,600,912.0,1.52
0.65,0.013,126.5,1518.0,600,918.0,1.53
0.65,0.013,136.5,1638.0,600,1038.0,1.73
0.65,0.014,126.5,1634.77,600,1034.77,1.72
0.65,0.014,136.5,1764.0,600,1164.0,1.94
0.66,0.004,126.5,460.0,600,-140.0,-0.23
0.66,0.004,136.5,496.36,600,-103.64,-0.17
0.66,0.005,126.5,575.0,600,-25.0,-0.04
0.66,0.005,136.5,620.45,600,20.45,0.03
0.66,0.006,126.5,690.0,600,90.0,0.15
0.66,0.006,136.5,744.55,600,144.55,0.24
0.66,0.007,126.5,805.0,600,205.0,0.34
0.66,0.007,136.5,868.64,600,268.64,0.45
0.66,0.008,126.5,920.0,600,320.0,0.53
0.66,0.008,136.5,992.73,600,392.73,0.65
0.66,0.009,126.5,1035.0,600,435.0,0.72
0.66,0.009,136.5,1116.82,600,516.82,0.86
0.66,0.01,126.5,1150.0,600,550.0,0.92
0.66,0.01,136.5,1240.91,600,640.91,1.07
0.66,0.011,126.5,1265.0,600,665.0,1.11
0.66,0.011,136.5,1365.0,600,765.0,1.27
0.66,0.012,126.5,1380.0,600,780.0,1.3
0.66,0.012,136.5,1489.09,600,889.09,1.48
0.66,0.013,126.5,1495.0,600,895.0,1.49
0.66,0.013,136.5,1613.18,600,1013.18,1.69
0.66,0.014,126.5,1610.0,600,1010.0,1.68
0.66,0.014,136.5,1737.27,600,1137.27,1.9
0.67,0.004,126.5,453.13,600,-146.87,-0.24
0.67,0.004,136.5,488.96,600,-111.04,-0.19
0.67,0.005,126.5,566.42,600,-33.58,-0.06
0.67,0.005,136.5,611.19,600,11.19,0.02
0.67,0.006,126.5,679.7,600,79.7,0.13
0.67,0.006,136.5,733.43,600,133.43,0.22
0.67,0.007,126.5,792.99,600,192.99,0.32
0.67,0.007,136.5,855.67,600,255.67,0.43
0.67,0.008,126.5,906.27,600,306.27,0.51
0.67,0.008,136.5,977.91,600,377.91,0.63
0.67,0.009,126.5,1019.55,600,419.55,0.7
0.67,0.009,136.5,1100.15,600,500.15,0.83
0.67,0.01,126.5,1132.84,600,532.84,0.89
0.67,0.01,136.5,1222.39,600,622.39,1.04
0.67,0.011,126.5,1246.12,600,646.12,1.08
0.67,0.011,136.5,1344.63,600,744.63,1.24
0.67,0.012,126.5,1359.4,600,759.4,1.27
0.67,0.012,136.5,1466.87,600,866.87,1.44
0.67,0.013,126.5,1472.69,600,872.69,1.45
0.67,0.013,136.5,1589.1,600,989.1,1.65
0.67,0.014,126.5,1585.97,600,985.97,1.64
0.67,0.014,136.5,1711.34,600,1111.34,1.85
0.68,0.004,126.5,446.47,600,-153.53,-0.26
0.68,0.004,136.5,481.76,600,-118.24,-0.2
0.68,0.005,126.5,558.09,600,-41.91,-0.07
0.68,0.005,136.5,602.21,600,2.21,0.0
0.68,0.006,126.5,669.71,600,69.71,0.12
0.68,0.006,136.5,722.65,600,122.65,0.2
0.68,0.007,126.5,781.32,600,181.32,0.3
0.68,0.007,136.5,843.09,600,243.09,0.41
0.68,0.008,126.5,892.94,600,292.94,0.49
0.68,0.008,136.5,963.53,600,363.53,0.61
0.68,0.009,126.5,1004.56,600,404.56,0.67
0.68,0.009,136.5,1083.97,600,483.97,0.81
0.68,0.01,126.5,1116.18,600,516.18,0.86
0.68,0.01,136.5,1204.41,600,604.41,1.01
0.68,0.011,126.5,1227.79,600,627.79,1.05
0.68,0.011,136.5,1324.85,600,724.85,1.21
0.68,0.012,126.5,1339.41,600,739.41,1.23
0.68,0.012,136.5,1445.29,600,845.29,1.41
0.68,0.013,126.5,1451.03,600,851.03,1.42
0.68,0.013,136.5,1565.74,600,965.74,1.61
0.68,0.014,126.5,1562.65,600,962.65,1.6
0.68,0.014,136.5,1686.18,600,1086.18,1.81
0.69,0.004,126.5,440.0,600,-160.0,-0.27
0.69,0.004,136.5,474.78,600,-125.22,-0.21
0.69,0.005,126.5,550.0,600,-50.0,-0.08
0.69,0.005,136.5,593.48,600,-6.52,-0.01
0.69,0.006,126.5,660.0,600,60.0,0.1
0.69,0.006,136.5,712.17,600,112.17,0.19
0.69,0.007,126.5,770.0,600,170.0,0.28
0.69,0.007,136.5,830.87,600,230.87,0.38
0.69,0.008,126.5,880.0,600,280.0,0.47
0.69,0.008,136.5,949.57,600,349.57,0.58
0.69,0.009,126.5,990.0,600,390.0,0.65
0.69,0.009,136.5,1068.26,600,468.26,0.78
0.69,0.01,126.5,1100.0,600,500.0,0.83
0.69,0.01,136.5,1186.96,600,586.96,0.98
0.69,0.011,126.5,1210.0,600,610.0,1.02
0.69,0.011,136.5,1305.65,600,705.65,1.18
0.69,0.012,126.5,1320.0,600,720.0,1.2
0.69,0.012,136.5,1424.35,600,824.35,1.37
0.69,0.013,126.5,1430.0,600,830.0,1.38
0.69,0.013,136.5,1543.04,600,943.04,1.57
0.69,0.014,126.5,1540.0,600,940.0,1.57
0.69,0.014,136.5,1661.74,600,1061.74,1.77
0.7,0.004,126.5,433.71,600,-166.29,-0.28
0.7,0.004,136.5,468.0,600,-132.0,-0.22
0.7,0.005,126.5,542.14,600,-57.86,-0.1
0.7,0.005,136.5,585.0,600,-15.0,-0.03
0.7,0.006,126.5,650.57,600,50.57,0.08
0.7,0.006,136.5,702.0,600,102.0,0.17
0.7,0.007,126.5,759.0,600,159.0,0.27
0.7,0.007,136.5,819.0,600,219.0,0.36
0.7,0.008,126.5,867.43,600,267.43,0.45
0.7,0.008,136.5,936.0,600,336.0,0.56
0.7,0.009,126.5,975.86,600,375.86,0.63
0.7,0.009,136.5,1053.0,600,453.0,0.76
0.7,0.01,126.5,1084.29,600,484.29,0.81
0.7,0.01,136.5,1170.0,600,570.0,0.95
0.7,0.011,126.5,1192.71,600,592.71,0.99
0.7,0.011,136.5,1287.0,600,687.0,1.15
0.7,0.012,126.5,1301.14,600,701.14,1.17
0.7,0.012,136.5,1404.0,600,804.0,1.34
0.7,0.013,126.5,1409.57,600,809.57,1.35
0.7,0.013,136.5,1521.0,600,921.0,1.53
0.7,0.014,126.5,1518.0,600,918.0,1.53
0.7,0.014,136.5,1638.0,600,1038.0,1.73
0.71,0.004,126.5,427.61,600,-172.39,-0.29
0.71,0.004,136.5,461.41,600,-138.59,-0.23
0.71,0.005,126.5,534.51,600,-65.49,-0.11
0.71,0.005,136.5,576.76,600,-23.24,-0.04
0.71,0.006,126.5,641.41,600,41.41,0.07
0.71,0.006,136.5,692.11,600,92.11,0.15
0.71,0.007,126.5,748.31,600,148.31,0.25
0.71,0.007,136.5,807.46,600,207.46,0.35
0.71,0.008,126.5,855.21,600,255.21,0.43
0.71,0.008,136.5,922.82,600,322.82,0.54
0.71,0.009,126.5,962.11,600,362.11,0.6
0.71,0.009,136.5,1038.17,600,438.17,0.73
0.71,0.01,126.5,1069.01,600,469.01,0.78
0.71,0.01,136.5,1153.52,600,553.52,0.92
0.71,0.011,126.5,1175.92,600,575.92,0.96
0.71,0.011,136.5,1268.87,600,668.87,1.11
0.71,0.012,126.5,1282.82,600,682.82,1.14
0.71,0.012,136.5,1384.23,600,784.23,1.31
0.71,0.013,126.5,1389.72,600,789.72,1.32
0.71,0.013,136.5,1499.58,600,899.58,1.5
0.71,0.014,126.5,1496.62,600,896.62,1.49
0.71,0.014,136.5,1614.93,600,1014.93,1.69
0.72,0.004,126.5,421.67,600,-178.33,-0.3
0.72,0.004,136.5,455.0,600,-145.0,-0.24
0.72,0.005,126.5,527.08,600,-72.92,-0.12
0.72,0.005,136.5,568.75,600,-31.25,-0.05
0.72,0.006,126.5,632.5,600,32.5,0.05
0.72,0.006,136.5,682.5,600,82.5,0.14
0.72,0.007,126.5,737.92,600,137.92,0.23
0.72,0.007,136.5,796.25,600,196.25,0.33
0.72,0.008,126.5,843.33,600,243.33,0.41
0.72,0.008,136.5,910.0,600,310.0,0.52
0.72,0.009,126.5,948.75,600,348.75,0.58
0.72,0.009,136.5,1023.75,600,423.75,0.71
0.72,0.01,126.5,1054.17,600,454.17,0.76
0.72,0.01,136.5,1137.5,600,537.5,0.9
0.72,0.011,126.5,1159.58,600,559.58,0.93
0.72,0.011,136.5,1251.25,600,651.25,1.09
0.72,0.012,126.5,1265.0,600,665.0,1.11
0.72,0.012,136.5,1365.0,600,765.0,1.27
0.72,0.013,126.5,1370.42,600,770.42,1.28
0.72,0.013,136.5,1478.75,600,878.75,1.46
0.72,0.014,126.5,1475.83,600,875.83,1.46
0.72,0.014,136.5,1592.5,600,992.5,1.65
0.73,0.004,126.5,415.89,600,-184.11,-0.31
0.73,0.004,136.5,448.77,600,-151.23,-0.25
0.73,0.005,126.5,519.86,600,-80.14,-0.13
0.73,0.005,136.5,560.96,600,-39.04,-0.07
0.73,0.006,126.5,623.84,600,23.84,0.04
0.73,0.006,136.5,673.15,600,73.15,0.12
0.73,0.007,126.5,727.81,600,127.81,0.21
0.73,0.007,136.5,785.34,600,185.34,0.31
0.73,0.008,126.5,831.78,600,231.78,0.39
0.73,0.008,136.5,897.53,600,297.53,0.5
0.73,0.009,126.5,935.75,600,335.75,0.56
0.73,0.009,136.5,1009.73,600,409.73,0.68
0.73,0.01,126.5,1039.73,600,439.73,0.73
0.73,0.01,136.5,1121.92,600,521.92,0.87
0.73,0.011,126.5,1143.7,600,543.7,0.91
0.73,0.011,136.5,1234.11,600,634.11,1.06
0.73,0.012,126.5,1247.67,600,647.67,1.08
0.73,0.012,136.5,1346.3,600,746.3,1.24
0.73,0.013,126.5,1351.64,600,751.64,1.25
0.73,0.013,136.5,1458.49,600,858.49,1.43
0.73,0.014,126.5,1455.62,600,855.62,1.43
0.73,0.014,136.5,1570.68,600,970.68,1.62
0.74,0.004,126.5,410.27,600,-189.73,-0.32
0.74,0.004,136.5,442.7,600,-157.3,-0.26
0.74,0.005,126.5,512.84,600,-87.16,-0.15
0.74,0.005,136.5,553.38,600,-46.62,-0.08
0.74,0.006,126.5,615.41,600,15.41,0.03
0.74,0.006,136.5,664.05,600,64.05,0.11
0.74,0.007,126.5,717.97,600,117.97,0.2
0.74,0.007,136.5,774.73,600,174.73,0.29
0.74,0.008,126.5,820.54,600,220.54,0.37
0.74,0.008,136.5,885.41,600,285.41,0.48
0.74,0.009,126.5,923.11,600,323.11,0.54
0.74,0.009,136.5,996.08,600,396.08,0.66
0.74,0.01,126.5,1025.68,600,425.68,0.71
0.74,0.01,136.5,1106.76,600,506.76,0.84
0.74,0.011,126.5,1128.24,600,528.24,0.88
0.74,0.011,136.5,1217.43,600,617.43,1.03
0.74,0.012,126.5,1230.81,600,630.81,1.05
0.74,0.012,136.5,1328.11,600,728.11,1.21
0.74,0.013,126.5,1333.38,600,733.38,1.22
0.74,0.013,136.5,1438.78,600,838.78,1.4
0.74,0.014,126.5,1435.95,600,835.95,1.39
0.74,0.014,136.5,1549.46,600,949.46,1.58
0.75,0.004,126.5,404.8,600,-195.2,-0.33
0.75,0.004,136.5,436.8,600,-163.2,-0.27
0.75,0.005,126.5,506.0,600,-94.0,-0.16
0.75,0.005,136.5,546.0,600,-54.0,-0.09
0.75,0.006,126.5,607.2,600,7.2,0.01
0.75,0.006,136.5,655.2,600,55.2,0.09
0.75,0.007,126.5,708.4,600,108.4,0.18
0.75,0.007,136.5,764.4,600,164.4,0.27
0.75,0.008,126.5,809.6,600,209.6,0.35
0.75,0.008,136.5,873.6,600,273.6,0.46
0.75,0.009,126.5,910.8,600,310.8,0.52
0.75,0.009,136.5,982.8,600,382.8,0.64
0.75,0.01,126.5,1012.0,600,412.0,0.69
0.75,0.01,136.5,1092.0,600,492.0,0.82
0.75,0.011,126.5,1113.2,600,513.2,0.86
0.75,0.011,136.5,1201.2,600,601.2,1.0
0.75,0.012,126.5,1214.4,600,614.4,1.02
0.75,0.012,136.5,1310.4,600,710.4,1.18
0.75,0.013,126.5,1315.6,600,715.6,1.19
0.75,0.013,136.5,1419.6,600,819.6,1.37
0.75,0.014,126.5,1416.8,600,816.8,1.36
0.75,0.014,136.5,1528.8,600,928.8,1.55
0.76,0.004,126.5,399.47,600,-200.53,-0.33
0.76,0.004,136.5,431.05,600,-168.95,-0.28
0.76,0.005,126.5,499.34,600,-100.66,-0.17
0.76,0.005,136.5,538.82,600,-61.18,-0.1
0.76,0.006,126.5,599.21,600,-0.79,-0.0
0.76,0.006,136.5,646.58,600,46.58,0.08
0.76,0.007,126.5,699.08,600,99.08,0.17
0.76,0.007,136.5,754.34,600,154.34,0.26
0.76,0.008,126.5,798.95,600,198.95,0.33
0.76,0.008,136.5,862.11,600,262.11,0.44
0.76,0.009,126.5,898.82,600,298.82,0.5
0.76,0.009,136.5,969.87,600,369.87,0.62
0.76,0.01,126.5,998.68,600,398.68,0.66
0.76,0.01,136.5,1077.63,600,477.63,0.8
0.76,0.011,126.5,1098.55,600,498.55,0.83
0.76,0.011,136.5,1185.39,600,585.39,0.98
0.76,0.012,126.5,1198.42,600,598.42,1.0
0.76,0.012,136.5,1293.16,600,693.16,1.16
0.76,0.013,126.5,1298.29,600,698.29,1.16
0.76,0.013,136.5,1400.92,600,800.92,1.33
0.76,0.014,126.5,1398.16,600,798.16,1.33
0.76,0.014,136.5,1508.68,600,908.68,1.51
0.77,0.004,126.5,394.29,600,-205.71,-0.34
0.77,0.004,136.5,425.45,600,-174.55,-0.29
0.77,0.005,126.5,492.86,600,-107.14,-0.18
0.77,0.005,136.5,531.82,600,-68.18,-0.11
0.77,0.006,126.5,591.43,600,-8.57,-0.01
0.77,0.006,136.5,638.18,600,38.18,0.06
0.77,0.007,126.5,690.0,600,90.0,0.15
0.77,0.007,136.5,744.55,600,144.55,0.24
0.77,0.008,126.5,788.57,600,188.57,0.31
0.77,0.008,136.5,850.91,600,250.91,0.42
0.77,0.009,126.5,887.14,600,287.14,0.48
0.77,0.009,136.5,957.27,600,357.27,0.6
0.77,0.01,126.5,985.71,600,385.71,0.64
0.77,0.01,136.5,1063.64,600,463.64,0.77
0.77,0.011,126.5,1084.29,600,484.29,0.81
0.77,0.011,136.5,1170.0,600,570.0,0.95
0.77,0.012,126.5,1182.86,600,582.86,0.97
0.77,0.012,136.5,1276.36,600,676.36,1.13
0.77,0.013,126.5,1281.43,600,681.43,1.14
0.77,0.013,136.5,1382.73,600,782.73,1.3
0.77,0.014,126.5,1380.0,600,780.0,1.3
0.77,0.014,136.5,1489.09,600,889.09,1.48
0.78,0.004,126.5,389.23,600,-210.77,-0.35
0.78,0.004,136.5,420.0,600,-180.0,-0.3
0.78,0.005,126.5,486.54,600,-113.46,-0.19
0.78,0.005,136.5,525.0,600,-75.0,-0.12
0.78,0.006,126.5,583.85,600,-16.15,-0.03
0.78,0.006,136.5,630.0,600,30.0,0.05
0.78,0.007,126.5,681.15,600,81.15,0.14
0.78,0.007,136.5,735.0,600,135.0,0.23
0.78,0.008,126.5,778.46,600,178.46,0.3
0.78,0.008,136.5,840.0,600,240.0,0.4
0.78,0.009,126.5,875.77,600,275.77,0.46
0.78,0.009,136.5,945.0,600,345.0,0.57
0.78,0.01,126.5,973.08,600,373.08,0.62
0.78,0.01,136.5,1050.0,600,450.0,0.75
0.78,0.011,126.5,1070.38,600,470.38,0.78
0.78,0.011,136.5,1155.0,600,555.0,0.93
0.78,0.012,126.5,1167.69,600,567.69,0.95
0.78,0.012,136.5,1260.0,600,660.0,1.1
0.78,0.013,126.5,1265.0,600,665.0,1.11
0.78,0.013,136.5,1365.0,600,765.0,1.27
0.78,0.014,126.5,1362.31,600,762.31,1.27
0.78,0.014,136.5,1470.0,600,870.0,1.45
0.79,0.004,126.5,384.3,600,-215.7,-0.36
0.79,0.004,136.5,414.68,600,-185.32,-0.31
0.79,0.005,126.5,480.38,600,-119.62,-0.2
0.79,0.005,136.5,518.35,600,-81.65,-0.14
0.79,0.006,126.5,576.46,600,-23.54,-0.04
0.79,0.006,136.5,622.03,600,22.03,0.04
0.79,0.007,126.5,672.53,600,72.53,0.12
0.79,0.007,136.5,725.7,600,125.7,0.21
0.79,0.008,126.5,768.61,600,168.61,0.28
0.79,0.008,136.5,829.37,600,229.37,0.38
0.79,0.009,126.5,864.68,600,264.68,0.44
0.79,0.009,136.5,933.04,600,333.04,0.56
0.79,0.01,126.5,960.76,600,360.76,0.6
0.79,0.01,136.5,1036.71,600,436.71,0.73
0.79,0.011,126.5,1056.84,600,456.84,0.76
0.79,0.011,136.5,1140.38,600,540.38,0.9
0.79,0.012,126.5,1152.91,600,552.91,0.92
0.79,0.012,136.5,1244.05,600,644.05,1.07
0.79,0.013,126.5,1248.99,600,648.99,1.08
0.79,0.013,136.5,1347.72,600,747.72,1.25
0.79,0.014,126.5,1345.06,600,745.06,1.24
0.79,0.014,136.5,1451.39,600,851.39,1.42
0.8,0.004,126.5,379.5,600,-220.5,-0.37
0.8,0.004,136.5,409.5,600,-190.5,-0.32
0.8,0.005,126.5,474.38,600,-125.62,-0.21
0.8,0.005,136.5,511.88,600,-88.12,-0.15
0.8,0.006,126.5,569.25,600,-30.75,-0.05
0.8,0.006,136.5,614.25,600,14.25,0.02
0.8,0.007,126.5,664.12,600,64.12,0.11
